request count, total data transfered (bytes), response time (sec), average response time (sec)
60, 780, 6.918282, 0.115305
60, 780, 6.833183, 0.113886
60, 780, 6.936173, 0.115603
60, 780, 7.085951, 0.118099
60, 780, 7.087695, 0.118128
60, 780, 7.299953, 0.121666
60, 780, 7.658134, 0.127636
60, 780, 7.567964, 0.126133
60, 780, 7.402724, 0.123379
60, 780, 7.793042, 0.129884
60, 780, 7.702844, 0.128381
60, 780, 7.779367, 0.129656
60, 780, 7.682012, 0.128034
60, 780, 7.421934, 0.123699
60, 780, 7.579387, 0.126323
60, 780, 7.515196, 0.125253
60, 780, 7.806382, 0.130106
60, 780, 7.791652, 0.129861
60, 780, 7.825490, 0.130425
60, 780, 7.818784, 0.130313
60, 780, 7.812290, 0.130205
60, 780, 7.689074, 0.128151
60, 780, 7.534299, 0.125572
60, 780, 7.802654, 0.130044
60, 780, 7.857023, 0.130950
60, 780, 7.398680, 0.123311
60, 780, 7.536326, 0.125605
60, 780, 7.833802, 0.130563
60, 780, 7.364353, 0.122739
60, 780, 7.620583, 0.127010
60, 780, 7.872862, 0.131214
60, 780, 7.394221, 0.123237
60, 780, 7.366823, 0.122780
60, 780, 7.747158, 0.129119
60, 780, 7.405819, 0.123430
60, 780, 7.423247, 0.123721
60, 780, 7.696111, 0.128269
60, 780, 7.662502, 0.127708
60, 780, 7.626477, 0.127108
60, 780, 7.694619, 0.128244
60, 780, 7.665224, 0.127754
60, 780, 7.638327, 0.127305
60, 780, 7.664899, 0.127748
60, 780, 7.791022, 0.129850
60, 780, 7.692524, 0.128209
60, 780, 8.033461, 0.133891
60, 780, 7.925993, 0.132100
60, 780, 7.865652, 0.131094
60, 780, 7.995041, 0.133251
60, 780, 7.921358, 0.132023
60, 780, 7.368659, 0.122811
60, 780, 8.006314, 0.133439
60, 780, 7.835998, 0.130600
60, 780, 7.998426, 0.133307
60, 780, 7.874913, 0.131249
60, 780, 7.740459, 0.129008
60, 780, 8.021956, 0.133699
60, 780, 7.868078, 0.131135
60, 780, 8.114640, 0.135244
60, 780, 8.013864, 0.133564
60, 780, 8.109072, 0.135151
60, 780, 7.692844, 0.128214
60, 780, 8.027208, 0.133787
60, 780, 8.111547, 0.135192
60, 780, 7.740396, 0.129007
60, 780, 7.728469, 0.128808
60, 780, 7.858130, 0.130969
60, 780, 7.969905, 0.132832
60, 780, 8.104035, 0.135067
60, 780, 7.928886, 0.132148
60, 780, 7.787558, 0.129793
60, 780, 8.028805, 0.133813
60, 780, 7.690147, 0.128169
60, 780, 7.157191, 0.119287
60, 780, 7.647049, 0.127451
60, 780, 7.853026, 0.130884
60, 780, 7.444016, 0.124067
60, 780, 8.056797, 0.134280
60, 780, 7.947833, 0.132464
60, 780, 7.868068, 0.131134
60, 780, 7.654502, 0.127575
60, 780, 7.631141, 0.127186
60, 780, 7.807763, 0.130129
60, 780, 8.187402, 0.136457
60, 780, 8.174845, 0.136247
60, 780, 7.815026, 0.130250
60, 780, 7.683351, 0.128056
60, 780, 7.128351, 0.118806
60, 780, 8.025517, 0.133759
60, 780, 8.161990, 0.136033
60, 780, 8.044095, 0.134068
60, 780, 7.960021, 0.132667
60, 780, 8.159759, 0.135996
60, 780, 7.965422, 0.132757
60, 780, 7.700309, 0.128338
60, 780, 7.532470, 0.125541
60, 780, 8.041028, 0.134017
60, 780, 7.482841, 0.124714
60, 780, 7.608485, 0.126808
60, 780, 7.727794, 0.128797
60, 780, 7.818847, 0.130314
60, 780, 8.035534, 0.133926
60, 780, 7.588155, 0.126469
60, 780, 8.030195, 0.133837
60, 780, 8.030898, 0.133848
60, 780, 7.801442, 0.130024
60, 780, 7.760296, 0.129338
60, 780, 7.675980, 0.127933
60, 780, 7.875248, 0.131254
60, 780, 7.743906, 0.129065
60, 780, 7.741111, 0.129019
60, 780, 8.086066, 0.134768
60, 780, 7.772920, 0.129549
60, 780, 7.560331, 0.126006
60, 780, 7.803508, 0.130058
60, 780, 7.531693, 0.125528
60, 780, 8.038942, 0.133982
60, 780, 7.303567, 0.121726
60, 780, 7.561222, 0.126020
60, 780, 7.953306, 0.132555
60, 780, 8.001635, 0.133361
60, 780, 7.490324, 0.124839
60, 780, 8.049056, 0.134151
60, 780, 8.089827, 0.134830
60, 780, 7.967806, 0.132797
60, 780, 8.046296, 0.134105
60, 780, 8.179136, 0.136319
60, 780, 8.194042, 0.136567
60, 780, 8.102297, 0.135038
60, 780, 7.820192, 0.130337
60, 780, 8.046451, 0.134108
60, 780, 7.320182, 0.122003
60, 780, 8.098119, 0.134969
60, 780, 7.545697, 0.125762
60, 780, 8.112495, 0.135208
60, 780, 8.055206, 0.134253
60, 780, 8.048162, 0.134136
60, 780, 8.198763, 0.136646
60, 780, 7.724983, 0.128750
60, 780, 8.064575, 0.134410
60, 780, 8.185121, 0.136419
60, 780, 7.910532, 0.131842
60, 780, 7.736506, 0.128942
60, 780, 7.999743, 0.133329
60, 780, 7.833983, 0.130566
60, 780, 8.082371, 0.134706
60, 780, 8.010942, 0.133516
60, 780, 7.855011, 0.130917
60, 780, 7.974372, 0.132906
60, 780, 8.071278, 0.134521
60, 780, 8.196481, 0.136608
60, 780, 7.749201, 0.129153
60, 780, 8.253733, 0.137562
60, 780, 7.787635, 0.129794
60, 780, 8.198686, 0.136645
60, 780, 8.261357, 0.137689
60, 780, 8.218824, 0.136980
60, 780, 7.436642, 0.123944
60, 780, 7.868206, 0.131137
60, 780, 7.758916, 0.129315
60, 780, 7.788207, 0.129803
60, 780, 7.790343, 0.129839
60, 780, 7.925016, 0.132084
60, 780, 8.249797, 0.137497
60, 780, 8.153366, 0.135889
60, 780, 7.611322, 0.126855
60, 780, 7.468328, 0.124472
60, 780, 8.162237, 0.136037
60, 780, 8.172716, 0.136212
60, 780, 7.901217, 0.131687
60, 780, 8.124332, 0.135406
60, 780, 8.150823, 0.135847
60, 780, 7.669191, 0.127820
60, 780, 7.617494, 0.126958
60, 780, 8.284487, 0.138075
60, 780, 8.327169, 0.138786
60, 780, 8.264085, 0.137735
60, 780, 7.642902, 0.127382
60, 780, 7.887054, 0.131451
60, 780, 8.194777, 0.136580
60, 780, 7.908995, 0.131817
60, 780, 8.062739, 0.134379
60, 780, 7.672645, 0.127877
60, 780, 8.302306, 0.138372
60, 780, 8.153183, 0.135886
60, 780, 7.381845, 0.123031
60, 780, 8.149997, 0.135833
60, 780, 7.988710, 0.133145
60, 780, 8.187850, 0.136464
60, 780, 8.321492, 0.138692
60, 780, 7.892847, 0.131547
60, 780, 8.212235, 0.136871
60, 780, 8.200878, 0.136681
60, 780, 7.928303, 0.132138
60, 780, 7.827165, 0.130453
60, 780, 8.094850, 0.134914
60, 780, 7.925627, 0.132094
60, 780, 7.498922, 0.124982
60, 780, 7.899298, 0.131655
60, 780, 8.170157, 0.136169
60, 780, 7.829409, 0.130490
60, 780, 8.152328, 0.135872
60, 780, 7.941035, 0.132351
60, 780, 7.826101, 0.130435
60, 780, 8.303474, 0.138391
60, 780, 7.856536, 0.130942
60, 780, 8.229906, 0.137165
60, 780, 7.626142, 0.127102
60, 780, 7.892790, 0.131546
60, 780, 7.238074, 0.120635
60, 780, 7.763217, 0.129387
60, 780, 7.884846, 0.131414
60, 780, 7.688457, 0.128141
60, 780, 8.203082, 0.136718
60, 780, 8.174568, 0.136243
60, 780, 8.142811, 0.135714
60, 780, 8.090012, 0.134834
60, 780, 8.173043, 0.136217
60, 780, 7.731714, 0.128862
60, 780, 8.015752, 0.133596
60, 780, 7.849020, 0.130817
60, 780, 8.317396, 0.138623
60, 780, 7.462556, 0.124376
60, 780, 7.334578, 0.122243
60, 780, 7.873460, 0.131224
60, 780, 7.846366, 0.130773
60, 780, 8.293085, 0.138218
60, 780, 7.672686, 0.127878
60, 780, 8.190449, 0.136507
60, 780, 7.863493, 0.131058
60, 780, 7.866050, 0.131101
60, 780, 8.340780, 0.139013
60, 780, 8.335744, 0.138929
60, 780, 7.665436, 0.127757
60, 780, 8.191439, 0.136524
60, 780, 8.164022, 0.136067
60, 780, 8.121540, 0.135359
60, 780, 7.926265, 0.132104
60, 780, 8.174211, 0.136237
60, 780, 7.988976, 0.133150
60, 780, 8.217996, 0.136967
60, 780, 8.191038, 0.136517
60, 780, 8.400909, 0.140015
60, 780, 7.950776, 0.132513
60, 780, 8.377669, 0.139628
60, 780, 8.367735, 0.139462
60, 780, 8.363490, 0.139391
60, 780, 7.744796, 0.129080
60, 780, 7.894392, 0.131573
60, 780, 7.921553, 0.132026
60, 780, 8.244310, 0.137405
60, 780, 8.394868, 0.139914
60, 780, 7.745192, 0.129087
60, 780, 7.628946, 0.127149
60, 780, 8.257186, 0.137620
60, 780, 8.407454, 0.140124
60, 780, 7.888701, 0.131478
60, 780, 7.593801, 0.126563
60, 780, 8.263614, 0.137727
60, 780, 8.334919, 0.138915
60, 780, 7.810201, 0.130170
60, 780, 7.581470, 0.126358
60, 780, 7.711756, 0.128529
60, 780, 8.102882, 0.135048
60, 780, 7.697398, 0.128290
60, 780, 8.273418, 0.137890
60, 780, 7.770364, 0.129506
