request count, total data transfered (bytes), total elapsed time (sec), average response time (sec)
60, 780, 2.929576, 0.048826
60, 780, 2.980027, 0.049667
60, 780, 2.980864, 0.049681
60, 780, 2.978690, 0.049645
60, 780, 3.011617, 0.050194
60, 780, 3.018112, 0.050302
60, 780, 3.015967, 0.050266
60, 780, 3.018620, 0.050310
60, 780, 2.995694, 0.049928
60, 780, 3.058383, 0.050973
60, 780, 3.019570, 0.050326
60, 780, 3.018533, 0.050309
60, 780, 3.038650, 0.050644
60, 780, 3.044364, 0.050739
60, 780, 3.052532, 0.050876
60, 780, 3.100640, 0.051677
60, 780, 3.091831, 0.051531
60, 780, 3.091940, 0.051532
60, 780, 3.092711, 0.051545
60, 780, 3.091292, 0.051522
60, 780, 3.100416, 0.051674
60, 780, 2.933062, 0.048884
60, 780, 2.891330, 0.048189
60, 780, 3.096672, 0.051611
60, 780, 3.096493, 0.051608
60, 780, 3.092362, 0.051539
60, 780, 3.100116, 0.051669
60, 780, 3.101937, 0.051699
60, 780, 3.105338, 0.051756
60, 780, 3.112809, 0.051880
60, 780, 3.121174, 0.052020
60, 780, 3.121310, 0.052022
60, 780, 3.127975, 0.052133
60, 780, 3.137567, 0.052293
60, 780, 3.141007, 0.052350
60, 780, 2.963896, 0.049398
60, 780, 3.148027, 0.052467
60, 780, 2.960172, 0.049336
60, 780, 3.148071, 0.052468
60, 780, 2.963915, 0.049399
60, 780, 2.956422, 0.049274
60, 780, 3.148182, 0.052470
60, 780, 2.984653, 0.049744
60, 780, 2.976041, 0.049601
60, 780, 3.171513, 0.052859
60, 780, 3.004945, 0.050082
60, 780, 3.005914, 0.050099
60, 780, 3.006592, 0.050110
60, 780, 3.019134, 0.050319
60, 780, 3.194932, 0.053249
60, 780, 3.018072, 0.050301
60, 780, 3.045367, 0.050756
60, 780, 3.001444, 0.050024
60, 780, 3.002340, 0.050039
60, 780, 3.050968, 0.050849
60, 780, 2.986697, 0.049778
60, 780, 3.074046, 0.051234
60, 780, 3.043911, 0.050732
60, 780, 3.079030, 0.051317
60, 780, 3.264767, 0.054413
60, 780, 3.086644, 0.051444
60, 780, 3.071425, 0.051190
60, 780, 3.075755, 0.051263
60, 780, 3.283037, 0.054717
60, 780, 3.087370, 0.051456
60, 780, 3.296228, 0.054937
60, 780, 3.090431, 0.051507
60, 780, 3.090921, 0.051515
